Date,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,BlkSizeMeanByte,BlkWghtMean,BlkWghtTot,CapAct1yrUSD,DiffLast,DiffMean,FeeTotNtv,FeeTotUSD,FlowInExNtv,FlowOutExNtv,FlowTfrFromExCnt,HashRate,IssContPctAnn,IssContPctDay,IssTotNtv,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,Close,RevHashRateUSD,RevNtv,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,SplyMiner0HopAllNtv,SplyMiner0HopAllUSD,SplyMiner1HopAllNtv,SplyMiner1HopAllUSD,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,VelCur1yr,Open,Gsearch_scaled,High,Low,DXY,SPX,COMP,Twitter,FG,Git,Perp_intrest,Perp_volume,Rate
2016-01-01,316781,8877,1068512,3188591,877,363548,1972087,61,108080,7058031,3480928,2395242,1225320,16598,2,139888,103,517248,1731,492924.8444,1971699.378,266179416,2570231586,103880340815,103880340815,19.87269548,8638.223654,30112.7987,30071.8912,8349,697129.1664,8.19453423,0.02245077871,3375.0,0.3544038709,86.14053595,41.14725609,74.76671484,35.71425611,434.6780064,2.116790641,3394.872695,13153437.98,4239912.128,275906.2567,5912955.217,8782093.44,1805959.831,11445006.54,12062207.71,12886663.8,694737.5384,3249275.748,13153437.98,39.333466,8784670.676,14970389.57,15029356.56,5327713.037,14568418.41,15021219.35,2498029.481,13375849.69,15029689.52,15025817.1,14988914.19,14740637.25,13744976.94,9627027.993,325228.1418,2962580.136,6264373.771,15028992.9,15017363.48,14941510.02,8291698.429,13026130.75,2208787.437,14399687.72,4584635.261,2932580.124,14870303.95,12486934.24,15032886.13,19927881.25,13047974.43,1932223.204,839894930.3,3063877.093,1331799987,124427,1.440127315,320580,174515.8184,2.716966083,0.01170076,32.71863143,430.721008,0.03,436.246002,427.515015,98.690002,2016.71,4903.09,20122.0,,,,,0.5
2016-01-02,417966,8864,1071201,3167125,877,363680,1980471,61,108130,7043170,3459153,2372051,1228991,16606,2,139886,103,517676,1733,576329.5793,2305318.317,334271156,2569706658,103880340815,103880340815,31.23552519,13569.95773,24549.02948,24008.53264,8570,748768.3639,8.799414892,0.02410798601,3625.0,0.3543474474,79.29395821,41.04873127,68.82118555,35.62720812,434.4398773,2.121369691,3656.235525,13155815.36,4236633.303,172243.7312,5914987.994,8782279.199,1789365.341,11444640.69,12063808.63,12888559.03,638128.9273,3249265.659,13155815.36,39.337503,8782433.249,14973997.96,15032981.08,5328149.338,14570827.15,15025151.83,2498241.687,13378419.64,15033313.68,15029434.65,14992643.01,14743401.72,13747026.12,9627596.722,325228.1418,2962792.342,6267204.551,15032615.58,15021268.49,14944918.54,8288372.322,13028792.64,2208787.437,14401322.27,4584499.281,2932792.33,14872279.01,12481894.17,15036511.13,19928334.38,13050559.54,1933613.566,840038840.1,3064799.526,1331471130,147864,1.711388889,405602,189629.9727,1.765765202,0.0069,32.71238606,434.622009,0.03,436.062012,431.869995,98.870003,1990.26,4891.43,19715.0,,,,,0.5
2016-01-03,398443,8851,1072753,3176498,876,363653,1983906,61,108112,7061365,3470414,2376580,1231382,16600,2,139813,103,517896,1731,565801.7586,2263207.034,328165020,2544093025,103880340815,103880340815,24.47306235,10526.74955,36097.17306,28600.56294,10055,748768.3639,8.797294042,0.02410217546,3625.0,0.3546201481,64.69371227,40.64418401,56.14808819,35.27534823,430.13618,2.096469987,3649.473062,13158492.35,4230304.725,210302.726,5914622.259,8780981.754,1772650.607,11445023.04,12066057.94,12891214.47,636095.3233,3257945.027,13158492.35,39.32559,8783965.638,14977438.75,15036601.56,5333535.303,14573349.57,15028743.09,2503987.724,13381804.95,15036936.49,15033037.56,14996189.75,14746256.52,13749729.08,9629688.521,325228.1418,2968538.379,6271853.75,15036223.89,15024688.06,14947246.22,8285461.906,13026836.92,2232108.6,14398767.11,4587051.059,2938538.366,14876004.43,12492161.41,15040136.13,19928787.5,13053430.7,1934148.929,831947431.8,3064180.135,1318014738,145029,1.678576389,432531,232482.1935,1.845883564,0.00512564,32.70289839,433.578003,0.03,433.743011,424.705994,99.389999,1943.09,4835.76,19638.0,,,,,0.5
2016-01-04,413159,8853,1075846,3186226,877,363689,1990669,61,108143,7069295,3480417,2385131,1235236,16600,2,139865,103,518339,1732,550678.895,2202715.58,398691520,2564753289,103880340815,103880340815,30.38263286,13169.32095,41544.04451,43291.42683,9490,934669.475,10.9781469,0.0300771148,4525.0,0.3545026215,58.17052866,40.91882745,50.48692876,35.5139617,433.4489711,2.112539211,4555.382633,13161299.83,4232422.36,271152.7824,5917082.426,8778360.584,1766290.935,11446010.17,12067842.83,12893948.56,642009.5847,3258070.741,13161299.83,39.330114,8786678.475,14981713.85,15041126.93,5333371.812,14576084.49,15033241.16,2501955.752,13384863.87,15041462.31,15037555.44,15000553.74,14749461.45,13753116.66,9632217.586,325228.1433,2966506.407,6272203.13,15040755.56,15029298.39,14952191.05,8295123.666,13035058.48,2208787.443,14404858.99,4586998.373,2936506.395,14879521.09,12497084.32,15044661.13,19929353.13,13057449.41,1935881.829,839105986.8,3066991.884,1329384476,178576,2.066851852,419538,258630.2975,2.201920213,0.01740535,32.69299438,430.061005,0.03,434.516998,429.084015,98.690002,2016.71,4903.09,23308.0,,,,,0.5
2016-01-05,435291,8911,1075480,3189286,879,363244,1990179,60,108113,7079707,3484190,2385764,1235182,16686,2,139815,102,517674,1737,641049.0828,2564196.331,402578824,2560729120,103880340815,103880340815,32.51125761,14066.62966,48262.02804,64336.46602,11463,810735.4009,9.519997342,0.0260821845,3925.0,0.353663134,44.82109866,40.75490628,38.90022334,35.37117572,432.6695026,2.112026224,3957.511258,13164989.1,4224411.511,328368.8061,5918441.452,8773262.935,1727063.554,11431708.77,12070435.05,12897263.19,628966.9024,3260567.337,13164989.1,39.328887,8791681.862,14985588.17,15045049.62,5322130.135,14580153.99,15037143.04,2481241.487,13390784.98,15045385.87,15041466.78,15004464.84,14753287.07,13758763.79,9640571.942,325228.1433,2945792.142,6264079.846,15044676.3,15033147.7,14955811.1,8295582.312,13041379.54,2208787.444,14407932.77,4576333.281,2925792.14,14884142.47,12506554.11,15048586.13,19929843.75,13060665.16,1936168.673,837721136.6,3079309.854,1332323463,183659,2.12568287,438135,335747.8193,2.872012251,0.0196203,32.69920243,433.069,0.03,434.182007,429.675995,98.870003,1990.26,4891.43,27207.0,,,,,0.5
2016-01-06,381359,8917,1077658,3197782,887,363954,1996144,60,107868,7089537,3492378,2393771,1237886,16676,2,139581,102,518734,1751,668967.5745,2675870.298,377297712,2550451172,103880340815,103880340815,30.82358132,13275.03434,41569.47409,51593.08091,11333,728112.6849,8.547804282,0.02341864187,3525.0,0.3537699585,46.36561123,40.46377207,40.24145467,35.11915419,430.6778697,2.103265822,3555.823581,13173669.95,4228183.447,348265.191,5921946.195,8771723.616,1710297.112,11435763.59,12078397.83,12905900.62,640390.4241,3236191.139,13173669.95,39.342961,8796295.432,14988898.36,15048574.83,5324984.731,14582462.07,15040644.86,2481772.526,13387841.52,15048910.7,15044989.96,15007846.15,14756006.69,13756068.47,9643809.293,325228.1433,2946323.181,6274740.958,15048196.96,15036527.83,14958538.43,8298334.917,13035935.31,2209007.183,14407413.83,4556341.458,2926323.178,14886950.11,12514109.36,15052111.13,19930284.38,13063967.71,1930897.91,831594998.6,3076290.801,1324890368,171808,1.988518519,377133,324639.5493,3.250514967,0.02724038,32.7007946,431.855988,0.03,431.855988,426.341003,99.389999,1943.09,4835.76,24615.0,,,,,0.5
2016-01-07,432867,8927,1079457,3205952,878,364841,2001646,60,107958,7108032,3501485,2402580,1240525,16709,2,139748,103,519713,1734,711416.4966,2845665.986,418312900,2725902395,103880340815,103880340815,36.78648695,16892.68368,85494.72205,80668.28473,13727,759096.2034,8.909365397,0.02440922026,3675.0,0.3533320488,34.37238899,42.86155659,29.83273892,37.20072027,459.2089401,2.24541439,3711.786487,13178187.07,4253526.256,381893.7823,5936083.027,8784430.851,1732551.03,11460747.01,12103446.7,12910318.64,686596.3752,3263539.295,13178187.07,39.427254,8791533.046,14992317.81,15052246.12,5319691.761,14585655.31,15044285.24,2481992.356,13388283.44,15052583.12,15048664.69,15011365.06,14759289.69,13757466.09,9641629.154,325228.1435,2956543.015,6258782.275,15051930.07,15041234.38,14970586.1,8352775.21,13085473.48,2231395.189,14458747.86,4631874.59,2926543.012,14890604.41,12518270.85,15055786.13,19930743.75,13067329.63,1930183.292,886357423.8,3072261.837,1410810102,191087,2.211655093,459852,438019.7763,3.084199131,0.017557165,32.7090422,430.010986,0.03,458.765991,429.076996,99.220001,1922.03,4689.43,24700.0,,,,,0.5
2016-01-08,405522,8938,1077250,3207009,879,363866,1999662,61,107954,7110740,3502589,2402467,1238068,16744,2,139823,104,518908,1737,572671.3121,2290685.249,396288548,2702686286,103880340815,103880340815,32.18645653,14616.97789,66765.41633,63252.19837,11540,893358.1169,10.48216036,0.02871824757,4325.0,0.3537862927,39.52312265,42.1338187,34.30383563,36.56977218,454.1344237,2.214955372,4357.186457,13180939.1,4278225.09,383674.616,5951291.39,8777215.806,1751360.827,11462925.87,12104908.98,12912940.87,673786.0818,3288385.527,13180939.1,39.516915,8799192.522,14996644.19,15056570.82,5328060.885,14590155.6,15048585.03,2481703.399,13395565.32,15056907.9,15052983.54,15015666.29,14763958.08,13765539.56,9652189.592,325228.1435,2956254.058,6269399.607,15056241.63,15045257.03,14972529.37,8341561.991,13078760.55,2211395.189,14450173.04,4626781.729,2916254.046,14895797.68,12526986.77,15060111.13,19931284.38,13071324.89,1931821.756,877306759.7,3081632.844,1399475556,179603,2.078738426,411240,381045.5785,2.506205183,0.018392635,32.68348244,457.537994,0.03,462.93399,447.937988,98.309998,1923.67,4643.63,26040.0,,,,,0.5
2016-01-09,461784,8933,1075471,3218450,878,363967,2000788,61,107951,7135985,3514512,2407059,1236233,16769,2,139837,105,519017,1736,655980.7947,2623923.179,396212400,2632179104,103880340815,103880340815,31.13701962,14006.83932,34795.34556,32127.50609,9575,779751.8824,9.146876097,0.02505993451,3775.0,0.3537180469,64.95358519,41.6491734,56.37552851,36.14880003,449.8452162,2.195791468,3806.13702,13184850.28,4255179.363,343508.6918,5851299.534,8777879.925,1709203.008,11465148.47,12108227.13,12916737.62,702772.8902,3290004.995,13184850.28,38.843227,8799369.022,15000250.5,15060342.69,5328368.382,14594305.99,15052292.79,2481738.298,13400334.19,15060680.3,15056728.32,15019261.42,14768148.53,13770543.68,9655953.222,325228.1435,2966488.958,6270139.771,15059999.09,15048847.69,14975320.64,8334819.771,13076581.85,2211394.549,14449362.55,4617503.852,2916488.935,14901177.95,12540262.43,15063886.13,19931756.25,13074482.95,1931896.624,869054454.7,3082376.54,1386592341,185614,2.148310185,501477,231917.7008,1.481113682,0.0046,32.65456224,453.382996,0.03,454.640015,446.889008,98.309998,,,20585.0,,,,,0.5
2016-01-10,427477,8922,1075763,3226952,878,364183,2000914,61,108099,7158549,3524000,2409536,1236826,16788,2,140005,105,519352,1738,511347.5829,2045390.331,357943308,2625628594,103880340815,103880340815,27.22692411,12213.45951,32408.86392,32777.33766,8715,903685.9565,10.59760636,0.02903453797,4375.0,0.3531811456,57.11186258,41.48295903,49.56909031,36.0042984,448.5802162,2.185219203,4402.226924,13186645.64,4255484.466,310418.6992,5853197.487,8779485.99,1706236.707,11469502.62,12107891.94,12918279.38,751996.6101,3317257.784,13186645.64,38.844545,8790182.983,15004572.79,15064714.67,5321825.73,14598495.32,15056615.31,2481921.531,13403754.36,15065053.71,15061075.27,15023620.39,14772480.68,13774085.71,9650636.432,325228.1435,2971672.19,6267248.779,15064367.3,15053152.02,14979540.39,8323627.606,13078583.21,2211394.549,14453091.7,4611122.34,2921672.158,14906384.96,12546506.75,15068261.13,19932303.13,13078193.62,1934351.216,867711686.7,3078472.661,1380941932,155959,1.805081019,443434,263837.6767,2.223936647,0.005,32.65243714,448.238007,0.03,448.30899,440.351013,98.309998,,,20755.0,,,,,0.5
