weighted_score,position_opening_time,position_closing_time,opening_price,close_price,position_type,PNL
0.67,2023-05-25 12:35:40,2023-05-25 14:33:47,26400,26323,short,-254
0.66,2023-05-25 21:35:19,2023-05-26 01:56:09,26449,26407,short,-139
0.66,2023-05-26 03:22:01,2023-05-26 05:10:24,26441,26431,short,-155
0.67,2023-06-01 19:29:21,2023-06-01 19:39:42,26937,26928,short,251
0.66,2023-06-01 20:59:57,2023-06-01 21:00:10,26867,26856,short,393
0.66,2023-06-01 23:20:43,2023-06-01 23:25:55,26850,26863,short,-398
0.68,2023-06-02 00:06:04,2023-06-02 00:11:21,26820,26814,short,-440
0.0,0,0,0,0,0,0
0.72,2023-06-06 08:23:19,2023-06-06 12:25:57,25712,25540,long,-152
0.7,2023-06-06 12:46:41,2023-06-06 13:57:25,25559,25663,long,191
0.68,2023-06-06 17:37:51,2023-06-06 18:13:21,26636,26647,short,150
0.68,2023-06-06 18:33:23,2023-06-06 19:34:10,26732,26838,short,-139
0.7,2023-06-06 20:14:17,2023-06-06 22:46:25,27099,27111,short,-172
0.66,2023-06-07 00:06:34,2023-06-07 00:11:42,27227,27227,short,205
0.0,0,0,0,0,0,0
0.66,2023-06-07 01:15:57,2023-06-07 03:07:31,27195,26958,short,192
0.67,2023-06-07 03:27:34,2023-06-07 03:32:45,26944,26809,short,-179
0.69,2023-06-07 04:32:51,2023-06-07 04:53:20,26931,26913,short,-257
0.72,2023-06-07 05:34:10,2023-06-07 05:54:30,26970,26914,short,-183
0.72,2023-06-07 06:14:33,2023-06-07 06:29:49,26937,26925,short,-203
0.7,2023-06-07 17:33:33,2023-06-07 22:11:56,26434,26304,long,-182
