Date,Camp,SPX
2016-01-01,4903.09,2016.71
2016-01-02,4891.43,1990.26
2016-01-03,4835.76,1943.09
2016-01-04,4903.09,2016.71
2016-01-05,4891.43,1990.26
2016-01-06,4835.76,1943.09
2016-01-07,4689.43,1922.03
2016-01-08,4643.63,1923.67
2016-01-11,4637.99,1938.68
2016-01-12,4685.92,1890.28
2016-01-13,4526.06,1921.84
2016-01-14,4615,1880.33
2016-01-15,4488.42,1881.33
2016-01-19,4476.95,1859.33
2016-01-20,4471.69,1868.99
2016-01-21,4472.06,1906.9
2016-01-22,4591.18,1877.08
2016-01-25,4518.49,1903.63
2016-01-26,4567.67,1882.95
2016-01-27,4468.17,1893.36
2016-01-28,4506.68,1940.24
2016-01-29,4613.95,1939.38
2016-02-01,4620.37,1903.03
2016-02-02,4516.95,1912.53
2016-02-03,4504.24,1915.45
2016-02-04,4509.56,1880.05
2016-02-05,4363.14,1853.44
2016-02-08,4283.75,1852.21
2016-02-09,4268.76,1851.86
2016-02-10,4283.59,1829.08
2016-02-11,4266.84,1864.78
2016-02-12,4337.51,1895.58
2016-02-16,4435.96,1926.82
2016-02-17,4534.06,1917.83
2016-02-18,4487.54,1917.78
2016-02-19,4504.43,1945.5
2016-02-22,4570.61,1921.27
2016-02-23,4503.58,1929.8
2016-02-24,4542.61,1951.7
2016-02-25,4582.2,1948.05
2016-02-26,4590.47,1932.23
2016-02-29,4557.95,1978.35
2016-03-01,4689.6,1986.45
2016-03-02,4703.42,1993.4
2016-03-03,4707.42,1999.99
2016-03-04,4717.02,2001.76
2016-03-07,4708.25,1979.26
2016-03-08,4648.82,1989.26
2016-03-09,4674.38,1989.57
2016-03-10,4662.16,2022.19
2016-03-11,4748.47,2019.64
2016-03-14,4750.28,2015.93
2016-03-15,4728.67,2027.22
2016-03-16,4763.97,2040.59
2016-03-17,4774.99,2049.58
2016-03-18,4795.65,2051.6
2016-03-21,4808.87,2049.8
2016-03-22,4821.66,2036.71
2016-03-23,4768.86,2035.94
2016-03-24,4773.5,2037.05
2016-03-28,4766.79,2055.01
2016-03-29,4846.62,2063.95
2016-03-30,4869.29,2059.74
2016-03-31,4869.85,2072.78
2016-04-01,4914.54,2066.13
2016-04-04,4891.8,2045.17
2016-04-05,4843.93,2066.66
2016-04-06,4920.72,2041.91
2016-04-07,4848.37,2047.6
2016-04-08,4850.69,2041.99
2016-04-11,4833.4,2061.72
2016-04-12,4872.09,2082.42
2016-04-13,4947.42,2082.78
2016-04-14,4945.89,2080.73
2016-04-15,4938.22,2094.34
2016-04-18,4960.02,2100.8
2016-04-19,4940.33,2102.4
2016-04-20,4948.13,2091.48
2016-04-21,4945.89,2091.58
2016-04-22,4906.23,2087.79
2016-04-25,4895.79,2091.7
2016-04-26,4888.28,2095.15
2016-04-27,4863.14,2075.81
2016-04-28,4805.29,2065.3
2016-04-29,4775.36,2081.43
2016-05-02,4817.59,2063.37
2016-05-03,4763.22,2051.12
2016-05-04,4725.64,2050.63
2016-05-05,4717.09,2057.14
2016-05-06,4736.16,2058.69
2016-05-09,4750.21,2084.39
2016-05-10,4809.88,2064.46
2016-05-11,4760.69,2064.11
2016-05-12,4737.33,2046.61
2016-05-13,4717.68,2066.66
2016-05-16,4775.46,2047.21
2016-05-17,4715.73,2047.63
2016-05-18,4739.12,2040.04
2016-05-19,4712.53,2052.32
2016-05-20,4769.56,2048.04
2016-05-23,4765.78,2076.06
2016-05-24,4861.06,2090.54
2016-05-25,4894.89,2090.1
2016-05-26,4901.77,2099.06
2016-05-27,4933.5,2096.96
2016-05-31,4948.05,2099.33
2016-06-01,4952.25,2105.26
2016-06-02,4971.36,2099.13
2016-06-03,4942.52,2109.41
2016-06-06,4968.71,2112.13
2016-06-07,4961.75,2119.12
2016-06-08,4974.64,2115.48
2016-06-09,4958.62,2096.07
2016-06-10,4894.55,2079.06
2016-06-13,4848.44,2075.32
2016-06-14,4843.55,2071.5
2016-06-15,4834.93,2077.99
2016-06-16,4844.91,2071.22
2016-06-17,4800.34,2083.25
2016-06-20,4837.21,2088.9
2016-06-21,4843.76,2085.45
2016-06-22,4833.32,2113.32
2016-06-23,4910.04,2037.41
2016-06-24,4707.98,2000.54
2016-06-27,4594.44,2036.09
2016-06-28,4691.87,2070.77
2016-06-29,4779.25,2098.86
2016-06-30,4842.67,2102.95
2016-07-01,4862.57,2088.55
2016-07-05,4822.9,2099.73
2016-07-06,4859.16,2097.9
2016-07-07,4876.81,2129.9
2016-07-08,4956.76,2137.16
2016-07-11,4988.64,2152.14
2016-07-12,5022.82,2152.43
2016-07-13,5005.73,2163.75
2016-07-14,5034.06,2161.74
2016-07-15,5029.59,2166.89
2016-07-18,5055.78,2163.78
2016-07-19,5036.37,2173.02
2016-07-20,5089.93,2165.17
2016-07-21,5073.9,2175.03
2016-07-22,5100.16,2168.48
2016-07-25,5097.63,2169.18
2016-07-26,5110.05,2166.58
2016-07-27,5139.81,2170.06
2016-07-28,5154.98,2173.6
2016-07-29,5162.13,2170.84
2016-08-01,5184.2,2157.03
2016-08-02,5137.73,2163.79
2016-08-03,5159.74,2164.25
2016-08-04,5166.25,2182.87
2016-08-05,5221.12,2180.89
2016-08-08,5213.14,2181.74
2016-08-09,5225.48,2175.49
2016-08-10,5204.58,2185.79
2016-08-11,5228.4,2184.05
2016-08-12,5232.89,2190.15
2016-08-15,5262.02,2178.15
2016-08-16,5227.11,2182.22
2016-08-17,5228.66,2187.02
2016-08-18,5240.15,2183.87
2016-08-19,5238.38,2182.64
2016-08-22,5244.6,2186.9
2016-08-23,5260.08,2175.44
2016-08-24,5217.69,2172.47
2016-08-25,5212.2,2169.04
2016-08-26,5218.92,2180.38
2016-08-29,5232.33,2176.12
2016-08-30,5222.99,2170.95
2016-08-31,5213.22,2170.86
2016-09-01,5227.21,2179.98
2016-09-02,5249.9,2186.48
2016-09-06,5275.91,2186.16
2016-09-07,5283.93,2181.3
2016-09-08,5259.48,2127.81
2016-09-09,5125.91,2159.04
2016-09-12,5211.89,2127.02
2016-09-13,5155.25,2125.77
2016-09-14,5173.77,2147.26
2016-09-15,5249.69,2139.16
2016-09-16,5244.57,2139.12
2016-09-19,5235.03,2139.76
2016-09-20,5241.35,2163.12
2016-09-21,5295.18,2177.18
2016-09-22,5339.52,2164.69
2016-09-23,5305.75,2146.1
2016-09-26,5257.49,2159.93
2016-09-27,5305.71,2171.37
2016-09-28,5318.55,2151.13
2016-09-29,5269.15,2168.27
2016-09-30,5312,2161.2
2016-10-03,5300.87,2150.49
2016-10-04,5289.66,2159.73
2016-10-05,5316.02,2160.77
2016-10-06,5306.85,2153.74
2016-10-07,5292.4,2163.66
2016-10-10,5328.67,2136.73
