Date,Value
2014/4/9,8193
2014/4/10,15039
2014/4/11,14907
2014/4/12,7582
2014/4/13,10674
2014/4/14,13266
2014/4/15,14835
2014/4/16,15790
2014/4/17,15215
2014/4/18,14028
2014/4/19,12337
2014/4/20,12139
2014/4/21,14244
2014/4/22,16098
2014/4/23,16232
2014/4/24,15471
2014/4/25,15255
2014/4/26,12283
2014/4/27,11667
2014/4/28,15969
2014/4/29,16706
2014/4/30,17588
2014/5/1,16988
2014/5/2,20057
2014/5/3,12910
2014/5/4,12716
2014/5/5,21273
2014/5/6,16806
2014/5/7,16970
2014/5/8,21518
2014/5/9,17442
2014/5/10,14225
2014/5/11,13469
2014/5/12,15910
2014/5/13,16935
2014/5/14,18167
2014/5/15,32817
2014/5/16,14474
2014/5/17,14587
2014/5/18,12892
2014/5/19,13595
2014/5/20,21515
2014/5/21,20254
2014/5/22,20217
2014/5/23,19485
2014/5/24,13630
2014/5/25,13823
2014/5/26,14792
2014/5/27,19718
2014/5/28,18545
2014/5/29,17571
2014/5/30,21731
2014/5/31,12882
2014/6/1,12849
2014/6/2,16427
2014/6/3,17858
2014/6/4,18010
2014/6/5,18707
2014/6/6,16611
2014/6/7,12557
2014/6/8,12134
2014/6/9,14497
2014/6/10,16631
2014/6/11,19356
2014/6/12,19092
2014/6/13,19128
2014/6/14,16078
2014/6/15,15810
2014/6/16,18430
2014/6/17,18560
2014/6/18,15957
2014/6/19,17605
2014/6/20,17459
2014/6/21,15113
2014/6/22,13838
2014/6/23,16325
2014/6/24,17005
2014/6/25,17683
2014/6/26,17534
2014/6/27,17587
2014/6/28,15236
2014/6/29,15482
2014/6/30,19860
2014/7/1,20443
2014/7/2,21375
2014/7/3,22046
2014/7/4,22659
2014/7/5,16997
2014/7/6,17331
2014/7/7,22248
2014/7/8,24425
2014/7/9,24542
2014/7/10,23242
2014/7/11,20939
2014/7/12,16719
2014/7/13,16133
2014/7/14,20287
2014/7/15,25031
2014/7/16,21984
2014/7/17,23305
2014/7/18,25897
2014/7/19,20261
2014/7/20,16827
2014/7/21,18501
2014/7/22,18386
2014/7/23,20612
2014/7/24,20448
2014/7/25,19971
2014/7/26,16000
2014/7/27,15621
2014/7/28,23384
2014/7/29,21797
2014/7/30,22092
2014/7/31,22160
2014/8/1,21585
2014/8/2,18531
2014/8/3,17187
2014/8/4,20609
2014/8/5,21073
2014/8/6,22471
2014/8/7,24516
2014/8/8,23126
2014/8/9,21820
2014/8/10,20814
2014/8/11,21388
2014/8/12,22551
2014/8/13,23725
2014/8/14,24887
2014/8/15,22725
2014/8/16,23487
2014/8/17,22608
2014/8/18,21867
2014/8/19,24106
2014/8/20,26924
2014/8/21,22176
2014/8/22,21222
2014/8/23,17389
2014/8/24,16318
2014/8/25,19062
2014/8/26,19596
2014/8/27,19625
