Date,Close,Open,AdrActCnt,AdrBal1in10BCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.01Cnt,AdrBalUSD10MCnt,DiffLast,FlowInExUSD,FlowOutExUSD,RevNtv,RevUSD,SplyAdrTop10Pct,SplyAdrTop1Pct,Gsearch_scaled,ActiAdd,HRate,AvgDiff,High,Low
2016-01-01,434.334015,430.721008,316781,3188591,108080,7058031,2395242,46,103880340815,13089371.31,13071589.71,3394.872695,1475676.495,14870303.95,12486934.24,0.03,317140,696536.27,103880340815,436.246002,427.515015
2016-01-02,433.437988,434.622009,417966,3167125,108130,7043170,2372051,46,103880340815,10665077.36,10430263.97,3656.235525,1588414.513,14872279.01,12481894.17,0.03,420430,745753.66,103880340815,436.062012,431.869995
2016-01-03,430.010986,433.578003,398443,3176498,108112,7061365,2376580,47,103880340815,15526700.13,12302136.89,3649.473062,1569770.402,14876004.43,12492161.41,0.03,394843,750361.17,103880340815,433.743011,424.705994
2016-01-04,433.091003,430.061005,413159,3186226,108143,7069295,2385131,46,103880340815,18007223.35,18764624.42,4555.382633,1974525.915,14879521.09,12497084.32,0.03,419331,945927.91,103880340815,434.516998,429.084015
2016-01-05,431.959991,433.069,435291,3189286,108113,7079707,2385764,46,103880340815,20881507.67,27836426.75,3957.511258,1712294.427,14884142.47,12506554.11,0.03,436708,808425.3,103880340815,434.182007,429.675995
2016-01-06,429.105011,431.855988,381359,3197782,107868,7089537,2393771,46,103880340815,17903052.54,22219998.17,3555.823581,1531414.525,14886950.11,12514109.36,0.03,380457,725577.3,103880340815,431.855988,426.341003
2016-01-07,458.048004,430.010986,432867,3205952,107958,7108032,2402580,47,103880340815,39259940.7,37043597.53,3711.786487,1704485.539,14890604.41,12518270.85,0.03,431308,765107.82,103880340815,458.765991,429.076996
2016-01-08,453.230011,457.537994,405522,3207009,107954,7110740,2402467,47,103880340815,30320473.87,28725000.66,4357.186457,1978748.361,14895797.68,12526986.77,0.03,414855,891672.13,103880340815,462.93399,447.937988
2016-01-09,447.610992,453.382996,461784,3218450,107951,7135985,2407059,47,103880340815,15652519.75,14452404.93,3806.13702,1712172.531,14901177.95,12540262.43,0.03,452714,793591.92,103880340815,454.640015,446.889008
2016-01-10,447.990997,448.238007,427477,3226952,108099,7158549,2409536,47,103880340815,14537975.19,14703265.22,4402.226924,1974751.906,14906384.96,12546506.75,0.03,434918,911209.36,103880340815,448.30899,440.351013
2016-01-11,448.428009,448.697998,452499,3227423,107936,7167603,2413216,47,103880340815,23453576.7,21814513.48,4286.228817,1924658.437,14910589.81,12557726.27,0.03,449865,880416.27,103880340815,450.661987,443.855011
2016-01-12,435.690002,448.182007,453665,3235425,107691,7184429,2420331,47,103880340815,20819451.35,19137166.77,4284.680876,1892835.575,14914581.96,12572210.97,0.03,458913,884329.74,103880340815,448.182007,435.690002
2016-01-13,432.371002,434.665009,430325,3248252,107567,7191617,2425649,47,113354299801,30264056.1,27732057.16,3735.018769,1614688.374,14918191.33,12579405.9,0.03,427269,813376.32,110281664455,435.186005,424.442993
2016-01-14,430.306,432.287994,427750,3255473,107669,7200543,2432434,47,113354299801,19534018.3,21591010.35,3356.74044,1442805,14920493.36,12575705.71,0.03,428984,764726.99,113354299801,433.324005,427.845001
2016-01-15,364.330994,430.255005,410879,3267895,107507,7211216,2439096,32,113354299801,44672150.49,36062558.5,3085.510308,1134922.275,14923674.27,12588901.2,0.03,418527,693245.32,113354299801,430.255005,364.330994
2016-01-16,387.536011,365.072998,511206,3265980,107470,7214172,2437439,34,113354299801,30971659.64,32205712.77,3584.995433,1391233.496,14928244.16,12595983.04,0.03,503116,796952.2,113354299801,390.557007,354.914001
2016-01-17,382.299011,387.152008,521728,3271592,107103,7238140,2444841,33,113354299801,16173548.45,15234111.71,3810.202241,1457334.103,14931948.16,12616977.44,0.03,539865,852801.51,113354299801,390.964996,380.09201
2016-01-18,387.167999,381.733002,476975,3284426,107000,7241705,2457407,33,113354299801,21328463.73,22585008.48,4365.808379,1680247.569,14933030.73,12612535.22,0.03,476544,975032.52,113354299801,388.104004,376.665009
2016-01-19,380.148987,387.026001,425484,3292543,106453,7246870,2460738,32,113354299801,21650521.03,18567226.31,3364.307912,1272252.483,14935677.91,12631566.25,0.03,420013,744363.21,113354299801,387.730011,378.971985
2016-01-20,420.230011,379.73999,623972,3284756,106487,7163557,2463917,48,113354299801,45888085.87,39818244.96,3847.062868,1618162.833,14935568.82,12597301.05,0.03,626659,864656.26,113354299801,425.266998,376.598999
2016-01-21,410.261993,419.631989,511702,3276477,106346,7156021,2459628,47,113354299801,33809072.55,30649168.82,3474.04457,1421921.091,14938522.22,12601825.08,0.03,518672,771728.73,113354299801,422.877014,406.299988
2016-01-22,382.492004,409.751007,500516,3264518,105572,7139138,2460769,33,113354299801,31626355.32,29021025.46,4445.660057,1694003.024,14940701.18,12615267.5,0.03,502349,988138.49,113354299801,410.410004,375.282013
2016-01-23,387.490997,382.43399,466284,3272806,105842,7156722,2462824,33,113354299801,18840468.7,18382823.92,4512.931749,1743664.159,14945513.01,12617400.65,0.03,473699,1017408.88,113354299801,394.542999,381.980988
2016-01-24,402.971008,388.10199,492811,3299363,104016,7192723,2473668,46,113354299801,25334414.2,21710510.4,4315.972881,1741265.994,14950069.11,12654690.96,0.03,488296,963784.71,113354299801,405.484985,387.51001
2016-01-25,391.726013,402.316986,528904,3303551,104005,7199832,2481953,35,113354299801,38702659.72,34623157.52,4096.378265,1605723.329,14953548,12695343.95,0.03,518510,930686.35,113354299801,402.316986,388.553986
2016-01-26,392.153015,392.002014,528008,3307895,104255,7206147,2493264,35,120033340651,31807162.3,24888490.21,4046.665633,1582824.673,14956560.48,12709965.46,0.03,535543,928752.5,116485100200,397.765991,390.575012
2016-01-27,394.971985,392.444,531444,3314292,104175,7211856,2495453,39,120033340651,35801503.54,30741623.99,3924.975462,1548903.373,14963741.27,12742800.46,0.03,530065,924841.84,120033340651,396.842987,391.782013
2016-01-28,380.289001,395.145996,513308,3309604,104075,7212840,2497298,32,120033340651,25750846.86,31794535.75,3696.021333,1400426.163,14968925.45,12759021.71,0.03,523389,870894.09,120033340651,395.502014,379.734985
2016-01-29,379.473999,380.108002,529268,3278802,104677,7177016,2465824,32,120033340651,38910284.96,34255819.49,4271.845082,1619029.264,14986086.57,12787128.58,0.03,532761,1014389.42,120033340651,384.378998,365.451996
