DateTime,Price,Commits,Stars,Open Issues,Closed Issues,Watchers,Size,Forks,Repositories,Open Pull Requests,Merged Pull Requests,Closed Pull Requests
2020-05-05 00:00:00,9003.070313,26966,47465,579,4828,4216,153338,28341,4,475,9320,4304
2020-05-06 00:00:00,9268.761719,26988,47475,579,4828,4213,153402,28343,4,473,9325,4305
2020-05-07 00:00:00,9951.518555,27006,47491,572,4835,4213,153500,28358,4,470,9331,4309
2020-05-08 00:00:00,9842.666016,27010,47509,568,4842,4212,153516,28369,4,471,9333,4314
2020-05-09 00:00:00,9593.896484,27026,47525,504,4908,4209,153578,28384,4,470,9338,4315
2020-05-10 00:00:00,8756.430664,27026,47544,493,4920,4212,153588,28387,4,476,9338,4315
2020-05-11 00:00:00,8601.795898,27030,47569,496,4920,4211,153656,28403,4,474,9339,4328
2020-05-12 00:00:00,8804.477539,27050,47609,496,4926,4213,153603,28417,4,469,9347,4333
2020-05-13 00:00:00,9269.987305,27067,47631,496,4928,4215,153678,28432,4,470,9354,4332
2020-05-14 00:00:00,9733.72168,27089,47657,498,4929,4217,153777,28435,4,466,9361,4334
2020-05-15 00:00:00,9328.197266,27106,47679,499,4930,4216,153800,28443,4,463,9367,4336
2020-05-16 00:00:00,9377.013672,27113,47695,501,4930,4216,153900,28448,4,467,9370,4338
2020-05-17 00:00:00,9670.739258,27118,47720,502,4930,4218,153900,28457,4,472,9371,4338
2020-05-18 00:00:00,9726.575195,27118,47736,504,4931,4220,153907,28462,4,479,9371,4339
2020-05-19 00:00:00,9729.038086,27130,47746,498,4938,4220,153934,28470,4,481,9375,4341
2020-05-20 00:00:00,9522.981445,27162,47768,500,4941,4219,154023,28481,4,479,9382,4343
2020-05-21 00:00:00,9081.761719,27178,47787,505,4940,4219,154075,28492,4,479,9386,4344
2020-05-22 00:00:00,9182.577148,27212,47803,508,4943,4218,154207,28505,4,474,9396,4345
2020-05-23 00:00:00,9209.287109,27230,47808,509,4944,4220,154250,28511,4,478,9400,4345
2020-05-24 00:00:00,8790.368164,27230,47823,510,4944,4220,154263,28515,4,480,9400,4345
2020-05-25 00:00:00,8906.93457,27230,47837,511,4944,4222,154263,28522,4,482,9400,4346
2020-05-26 00:00:00,8835.052734,27248,47851,510,4945,4222,154319,28529,4,479,9405,4346
2020-05-27 00:00:00,9181.017578,27275,47869,511,4946,4225,154394,28537,4,479,9411,4348
2020-05-28 00:00:00,9525.750977,27283,47882,513,4947,4222,154421,28540,4,483,9412,4350
2020-05-29 00:00:00,9439.124023,27322,47892,509,4953,4221,154542,28546,4,480,9427,4352
2020-05-30 00:00:00,9700.414063,27340,47904,509,4954,4224,154592,28556,4,480,9433,4353
2020-05-31 00:00:00,9461.058594,27353,47919,506,4958,4224,154617,28564,4,486,9435,4353
2020-06-01 00:00:00,10167.26856,27376,47932,510,4958,4223,154709,28575,4,486,9440,4354
2020-06-02 00:00:00,9529.803711,27407,47943,509,4961,4223,154812,28582,4,481,9453,4356
2020-06-03 00:00:00,9656.717773,27425,47951,511,4965,4224,154890,28593,4,482,9460,4357
2020-06-04 00:00:00,9800.636719,27444,47974,515,4966,4225,155263,28605,4,481,9465,4358
2020-06-05 00:00:00,9665.533203,27474,47992,516,4968,4223,155346,28608,4,473,9478,4360
2020-06-06 00:00:00,9653.679688,27477,48007,517,4970,4223,155511,28613,4,480,9479,4361
2020-06-07 00:00:00,9758.852539,27482,48031,517,4970,4225,155523,28626,4,486,9481,4362
2020-06-08 00:00:00,9771.489258,27501,48046,517,4971,4225,155560,28631,4,487,9489,4362
2020-06-09 00:00:00,9795.700195,27512,48061,520,4973,4228,155586,28645,4,492,9493,4363
2020-06-10 00:00:00,9870.094727,27522,48070,523,4976,4228,155592,28652,4,495,9497,4364
2020-06-11 00:00:00,9321.78125,27533,48083,523,4979,4223,155625,28660,4,497,9501,4366
2020-06-12 00:00:00,9480.84375,27554,48090,524,4981,4222,155617,28667,4,499,9508,4366
2020-06-13 00:00:00,9475.277344,27577,48105,525,4983,4223,155742,28680,4,498,9513,4368
2020-06-14 00:00:00,9386.788086,27581,48119,525,4984,4224,155725,28684,4,501,9515,4368
2020-06-15 00:00:00,9450.702148,27585,48135,525,4986,4228,155733,28691,4,506,9517,4372
2020-06-16 00:00:00,9538.024414,27601,48148,525,4987,4229,155753,28699,4,510,9521,4372
2020-06-17 00:00:00,9480.254883,27630,48165,524,4988,4228,155876,28703,4,507,9531,4373
2020-06-18 00:00:00,9411.84082,27642,48182,526,4990,4227,155967,28709,4,510,9535,4376
2020-06-19 00:00:00,9288.018555,27664,48199,527,4990,4226,156012,28712,4,508,9543,4379
2020-06-20 00:00:00,9332.34082,27679,48214,526,4994,4224,156034,28716,4,508,9548,4380
2020-06-21 00:00:00,9303.629883,27715,48221,529,4994,4227,156314,28715,4,506,9554,4380
2020-06-22 00:00:00,9648.717773,27725,48235,531,4994,4227,156250,28720,4,508,9556,4380
2020-06-23 00:00:00,9629.658203,27740,48256,534,4996,4229,156339,28723,4,509,9560,4383
2020-06-24 00:00:00,9313.610352,27744,48268,535,4997,4231,156339,28736,4,515,9561,4383
2020-06-25 00:00:00,9264.813477,27817,48283,535,4999,4227,156611,28745,4,513,9568,4386
2020-06-26 00:00:00,9162.917969,27842,48287,534,5002,4226,156705,28749,4,515,9574,4386
2020-06-27 00:00:00,9045.390625,27852,48285,537,5002,4224,156690,28753,4,521,9575,4387
2020-06-28 00:00:00,9143.582031,27854,48298,535,5005,4223,156518,28758,4,521,9576,4389
2020-06-29 00:00:00,9190.854492,27867,48309,538,5006,4224,157133,28760,4,521,9581,4390
2020-06-30 00:00:00,9137.993164,27889,48321,537,5011,4225,157199,28764,4,518,9589,4392
2020-07-01 00:00:00,9228.325195,27895,48332,538,5011,4223,157199,28770,4,518,9591,4393
2020-07-02 00:00:00,9123.410156,27920,48340,536,5012,4221,157297,28772,4,518,9599,4393
2020-07-03 00:00:00,9087.303711,27952,48348,534,5017,4221,157389,28777,4,509,9608,4395
2020-07-04 00:00:00,9132.488281,27957,48360,535,5018,4222,157389,28774,4,513,9609,4395
2020-07-05 00:00:00,9073.942383,27959,48373,534,5020,4222,157524,28780,4,513,9610,4396
2020-07-06 00:00:00,9375.474609,27970,48383,537,5019,4220,157997,28796,4,515,9613,4398
2020-07-07 00:00:00,9252.277344,27972,48397,539,5020,4219,158009,28801,4,515,9614,4398
2020-07-08 00:00:00,9428.333008,27975,48420,540,5020,4219,158059,28805,4,522,9615,4399
2020-07-09 00:00:00,9277.967773,27986,48430,539,5021,4219,158069,28811,4,521,9619,4401
2020-07-10 00:00:00,9278.807617,28012,48436,540,5023,4220,158170,28821,4,504,9632,4412
2020-07-11 00:00:00,9240.34668,28040,48445,541,5024,4224,158287,28825,4,499,9642,4413
2020-07-12 00:00:00,9276.5,28046,48451,543,5023,4222,158345,28830,4,500,9645,4416
2020-07-13 00:00:00,9243.614258,28054,48458,544,5023,4222,158561,28839,4,502,9647,4417
2020-07-14 00:00:00,9243.213867,28075,48478,545,5025,4222,158399,28847,4,500,9653,4420
2020-07-15 00:00:00,9192.836914,28092,48483,545,5027,4224,158536,28853,4,496,9662,4426
2020-07-16 00:00:00,9132.227539,28126,48502,545,5029,4222,158477,28858,4,493,9671,4426
2020-07-17 00:00:00,9151.392578,28141,48547,546,5030,4221,158502,28872,4,491,9676,4430
2020-07-18 00:00:00,9159.040039,28153,48576,547,5031,4223,158630,28876,4,490,9678,4430
2020-07-19 00:00:00,9185.817383,28155,48602,548,5032,4221,158630,28883,4,495,9679,4430
2020-07-20 00:00:00,9164.231445,28155,48626,549,5033,4223,158639,28887,4,500,9679,4430
2020-07-21 00:00:00,9374.887695,28166,48648,548,5035,4222,158855,28893,4,496,9684,4431
2020-07-22 00:00:00,9525.363281,28180,48663,547,5038,4222,158901,28899,4,493,9691,4431
2020-07-23 00:00:00,9581.072266,28209,48675,549,5038,4224,159045,28909,4,493,9695,4431
2020-07-24 00:00:00,9536.892578,28218,48683,549,5043,4223,159063,28917,4,490,9698,4435
2020-07-25 00:00:00,9677.113281,28223,48702,551,5044,4228,159090,28925,4,494,9697,4435
2020-07-26 00:00:00,9905.166992,28223,48715,551,5044,4231,159090,28928,4,493,9697,4438
2020-07-27 00:00:00,10990.87305,28228,48729,552,5044,4229,159007,28934,4,496,9701,4442
2020-07-28 00:00:00,10912.82324,28242,48751,554,5045,4228,159028,28942,4,500,9707,4445
2020-07-29 00:00:00,11100.46777,28252,48762,556,5046,4229,159076,28939,4,499,9710,4447
2020-07-30 00:00:00,11111.21387,28267,48789,557,5047,4228,159072,28947,4,499,9715,4448
2020-07-31 00:00:00,11323.4668,28298,48799,554,5048,4225,159292,28952,4,495,9724,4450
2020-08-01 00:00:00,11759.59277,28313,48815,553,5049,4226,159353,28953,4,489,9732,4450
2020-08-02 00:00:00,11053.61426,28317,48833,553,5050,4228,159367,28958,4,492,9734,4453
2020-08-03 00:00:00,11246.34863,28319,48844,554,5051,4230,159333,28962,4,498,9735,4455
2020-08-04 00:00:00,11205.89258,28338,48863,554,5051,4230,159332,28968,4,502,9739,4455
2020-08-05 00:00:00,11747.02246,28352,48889,555,5054,4231,159347,28974,4,504,9742,4457
2020-08-06 00:00:00,11779.77344,28360,48899,554,5055,4233,159385,28982,4,505,9746,4458
2020-08-07 00:00:00,11601.47266,28365,48923,557,5055,4234,159415,28992,4,503,9748,4462
2020-08-08 00:00:00,11754.0459,28365,48939,559,5056,4232,159415,28993,4,507,9748,4464
2020-08-09 00:00:00,11675.73926,28367,48952,558,5057,4234,159368,28996,4,504,9749,4467
2020-08-10 00:00:00,11878.11133,28381,48965,547,5069,4234,159421,29007,4,498,9755,4469
2020-08-11 00:00:00,11410.52539,28390,48982,546,5071,4232,159516,29012,4,493,9760,4472
2020-08-12 00:00:00,11584.93457,28410,48994,549,5072,4236,159578,29017,4,494,9761,4473
2020-08-13 00:00:00,11784.1377,28431,49009,546,5076,4235,159615,29019,4,488,9767,4477
2020-08-14 00:00:00,11768.87109,28451,49027,541,5085,4237,159736,29024,4,482,9773,4483
2020-08-15 00:00:00,11865.69824,28468,49047,538,5089,4239,160142,29040,4,485,9779,4485
2020-08-16 00:00:00,11892.80371,28475,49056,538,5090,4240,160156,29049,4,485,9781,4487
2020-08-17 00:00:00,12254.40234,28482,49078,538,5095,4239,160206,29059,4,487,9784,4490
2020-08-18 00:00:00,11991.2334,28493,49092,537,5099,4240,160222,29074,4,491,9789,4493
2020-08-19 00:00:00,11758.2832,28496,49116,536,5100,4242,160243,29079,4,495,9790,4493
2020-08-20 00:00:00,11878.37207,28507,49131,538,5100,4241,160273,29091,4,490,9794,4494
2020-08-21 00:00:00,11592.48926,28536,49148,538,5103,4242,160560,29089,4,482,9806,4499
2020-08-22 00:00:00,11681.8252,28538,49157,537,5104,4239,160563,29092,4,488,9807,4499
2020-08-23 00:00:00,11664.84766,28540,49168,537,5105,4241,160574,29096,4,489,9808,4500
2020-08-24 00:00:00,11774.5957,28547,49182,536,5107,4240,160550,29102,4,489,9811,4500
2020-08-25 00:00:00,11366.13477,28568,49194,541,5108,4242,160626,29109,4,488,9817,4502
2020-08-26 00:00:00,11488.36328,28587,49211,544,5110,4243,160700,29117,4,494,9822,4502
2020-08-27 00:00:00,11323.39746,28626,49220,545,5112,4245,160658,29124,4,493,9826,4504
2020-08-28 00:00:00,11542.5,28640,49232,547,5113,4244,160865,29131,4,490,9833,4505
