Date,DiffLast,DiffMean,CapAct1yrUSD,HashRate,Open,Close,Rate
2022-01-04,24272331996980.0,24272331996980.0,370971113853.0,177367872.1,46458.85156,45905.96112,1.73
2022-01-05,24272331996980.0,24272331996980.0,350890169823.0,180987625.8,45899.35938,43530.94404,1.76
2022-01-06,24272331996980.0,24272331996980.0,347068622903.0,176161288.7,43565.51172,43144.96529,1.78
2022-01-07,24272331996980.0,24272331996980.0,333202123542.0,168921783.1,43153.57031,41512.78458,1.75
2022-01-08,24371874614346.0,24344915155476.0,334235143492.0,174267690.7,41561.46484,41799.81288,1.74
2022-01-09,24371874614346.0,24371874614346.0,333122839951.0,170826077.2,41734.72656,41886.49856,1.7
2022-01-10,24371874614346.0,24371874614346.0,330402763074.0,172037608.9,41910.23047,41816.95106,1.78
2022-01-11,24371874614346.0,24371874614346.0,337080952563.0,191422128.0,41819.50781,42768.17861,1.87
2022-01-12,24371874614346.0,24371874614346.0,345443068752.0,168403012.1,42742.17969,43961.02654,1.83
2022-01-13,24371874614346.0,24371874614346.0,334187432981.0,216864310.8,43946.74219,42626.86539,1.87
2022-01-14,24371874614346.0,24371874614346.0,337679207738.0,192633661.5,42598.87109,43102.64762,1.83
2022-01-15,24371874614346.0,24371874614346.0,336392964883.0,201114388.5,43101.89844,43206.67448,1.75
2022-01-16,24371874614346.0,24371874614346.0,335144817289.0,212018180.6,43172.03906,43168.85967,1.75
2022-01-17,24371874614346.0,24371874614346.0,327550536010.0,195056726.6,43118.12109,42211.2704,1.78
2022-01-18,24371874614346.0,24371874614346.0,329175007759.0,164768413.6,42250.07422,42431.23197,1.85
2022-01-19,24371874614346.0,24371874614346.0,323760012247.0,209595115.5,42374.03906,41787.72201,1.81
2022-01-20,24371874614346.0,24371874614346.0,314524801367.0,204748985.3,41744.02734,40756.12616,1.78
2022-01-21,26643185256535.0,26422834224084.0,281122028577.0,176007153.5,40699.60547,36492.28722,1.79
2022-01-22,26643185256535.0,26643185256535.0,269552367262.0,177474950.5,36471.58984,34996.39097,1.81
2022-01-23,26643185256535.0,26643185256535.0,279307046833.0,186746029.8,35047.35938,36271.05027,1.78
2022-01-24,26643185256535.0,26643185256535.0,282346040584.0,198665989.1,36275.73438,36659.72522,1.82
2022-01-25,26643185256535.0,26643185256535.0,284759351479.0,201314869.1,36654.80469,36952.58677,1.93
2022-01-26,26643185256535.0,26643185256535.0,283658874878.0,172177190.4,36950.51563,36825.8246,1.92
2022-01-27,26643185256535.0,26643185256535.0,285329284221.0,173501629.5,36841.87891,37021.93713,1.92
2022-01-28,26643185256535.0,26643185256535.0,290356384313.0,203963747.3,37128.44531,37768.84748,1.92
2022-01-29,26643185256535.0,26643185256535.0,291991427665.0,197341548.1,37780.71484,38088.29123,1.92
2022-01-30,26643185256535.0,26643185256535.0,291005623203.0,193368229.0,38151.91797,37983.50638,1.92
2022-01-31,26643185256535.0,26643185256535.0,294270894886.0,189394909.8,37920.28125,38462.6724,1.92
2022-02-01,26643185256535.0,26643185256535.0,300068357267.0,203963747.3,38481.76563,38787.96408,1.81
2022-02-02,26643185256535.0,26643185256535.0,285511243991.0,202639308.2,38743.71484,36942.33075,1.78
2022-02-03,26643185256535.0,26643185256535.0,286269465260.0,194692668.0,36944.80469,37057.65219,1.82
2022-02-04,26690525287406.0,26686519592486.0,316993266127.0,172457231.4,37149.26563,41079.90609,1.93
2022-02-05,26690525287406.0,26690525287406.0,319548060274.0,157888392.0,41501.48047,41508.58169,1.92
2022-02-06,26690525287406.0,26690525287406.0,325232010692.0,206979739.9,41441.12109,42358.22517,1.96
2022-02-07,26690525287406.0,26690525287406.0,336952381016.0,180443875.5,42406.78125,43888.98012,1.94
2022-02-08,26690525287406.0,26690525287406.0,339079170962.0,204326153.3,43854.65234,44167.44479,2.03
2022-02-09,26690525287406.0,26690525287406.0,340579222866.0,185751048.8,44096.70313,44405.0732,1.92
2022-02-10,26690525287406.0,26690525287406.0,333048778297.0,195038601.0,44347.80078,43614.3427,1.98
2022-02-11,26690525287406.0,26690525287406.0,321879203996.0,188404635.4,43571.12891,42357.32174,2.05
2022-02-12,26690525287406.0,26690525287406.0,319376369645.0,248110329.8,42412.30078,42173.4594,2.03
2022-02-13,26690525287406.0,26690525287406.0,316774011868.0,209633326.5,42236.56641,42195.59475,1.97
2022-02-14,26690525287406.0,26690525287406.0,320157654304.0,202999360.9,42157.39844,42646.16186,1.92
2022-02-15,26690525287406.0,26690525287406.0,334151566367.0,232188811.9,42586.46484,44511.90849,1.94
2022-02-16,26690525287406.0,26690525287406.0,330691978407.0,206979739.9,44578.27734,44065.70927,1.94
2022-02-17,27967152532434.0,27365430136688.0,304671754630.0,213573837.4,43937.07031,40610.02426,1.99
2022-02-18,27967152532434.0,27967152532434.0,300003228349.0,186294129.8,40552.13281,40044.22049,1.96
2022-02-19,27967152532434.0,27967152532434.0,298684505963.0,207147948.8,40026.02344,40095.88733,1.97
2022-02-20,27967152532434.0,27967152532434.0,285396096854.0,200196675.8,40118.10156,38551.6225,1.83
2022-02-21,27967152532434.0,27967152532434.0,274270153828.0,171001327.9,38423.21094,37098.03601,1.83
2022-02-22,27967152532434.0,27967152532434.0,281785829160.0,211318714.3,37068.76953,38202.59408,1.83
